,Signature Subs-01,Signature Subs-02,Signature Subs-03,Signature Subs-04,Signature Subs-05,Signature Subs-06,Signature Subs-07a,Signature Subs-07b,Signature Subs-07c,Signature Subs-07d,Signature Subs-08,Signature Subs-09,Signature Subs-10a,Signature Subs-10b,Signature Subs-11,Signature Subs-12,Signature Subs-13,Signature Subs-14,Signature Subs-15,Signature Subs-16,Signature Subs-17a,Signature Subs-17b,Signature Subs-18,Signature Subs-19,Signature Subs-20,Signature Subs-21,Signature Subs-22,Signature Subs-23,Signature Subs-24,Signature Subs-25,Signature Subs-26,Signature Subs-27,Signature Subs-28,Signature Subs-29,Signature Subs-30,Signature Subs-31,Signature Subs-32,Signature Subs-33,Signature Subs-34,Signature Subs-35,Signature Subs-36,Signature Subs-37,Signature Subs-38,Signature Subs-39,Signature Subs-40,Signature Subs-41,Signature Subs-42,Signature Subs-43,Signature Subs-44,Signature Subs-45,Signature Subs-46,Signature Subs-47,Signature Subs-48,Signature Subs-49,Signature Subs-50,Signature Subs-51,Signature Subs-52,Signature Subs-53,Signature Subs-54,Signature Subs-55,Signature Subs-56,Signature Subs-57,Signature Subs-58,Signature Subs-59,Signature Subs-60
BILIARY-ADENOCA,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLADDER-TCC,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONE-BENIGN,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BONE-EPITH,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONE-OSTEOSARC,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREAST-ADENOCA,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREAST-LOBULARCA,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERVIX-ADENOCA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERVIX-SCC,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS-GBM,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
